fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c3620031697612615,0.78万(59套),59,59套,套,7790,0.78万,元,"106.281103,29.290592;106.280124,29.289757;106.278184,29.291088;106.279325,29.292002;106.280609,29.29123",中昂新天地,,3620031697612615,resblock,3620031697612615,中昂新天地,106.27791033798,29.288233399317,30002,False
c3611100112251,0.63万(27套),27,27套,套,6294,0.63万,元,"106.274523,29.292061;106.273247,29.292321;106.271729,29.292407;106.271927,29.293919;106.272556,29.295368;106.275359,29.294022;106.274972,29.292927",津城壹号,,3611100112251,resblock,3611100112251,津城壹号,106.27405174073,29.293514686229,30002,False
c3611100117583,0.89万(25套),25,25套,套,8879,0.89万,元,"106.275085,29.285894;106.276621,29.286646;106.279253,29.285571;106.278552,29.285051;106.27724,29.285138;106.276055,29.285429",御景华庭,,3611100117583,resblock,3611100117583,御景华庭,106.27757004262,29.285732587763,30002,False
c3611100536490,0.57万(24套),24,24套,套,5739,0.57万,元,"106.281925,29.286815;106.283803,29.28828;106.286363,29.286051;106.284845,29.284539",半岛明珠（江津...,,3611100536490,resblock,3611100536490,半岛明珠（江津）,106.284074,29.28675,30002,False
c3611100112586,0.69万(20套),20,20套,套,6937,0.69万,元,"106.276261,29.2913;106.275408,29.288465;106.278723,29.286276;106.280016,29.287394;106.279486,29.28804;106.280313,29.288622;106.28016,29.288828;106.27936,29.289411;106.278983,29.289907;106.278175,29.290411;106.277708,29.290757",时代港湾,,3611100112586,resblock,3611100112586,时代港湾,106.277222,29.289327,30002,False
c3611100111627,0.52万(16套),16,16套,套,5155,0.52万,元,"106.27557,29.294029;106.27495,29.292375;106.275372,29.292233;106.275929,29.292588;106.277546,29.292036;106.278821,29.291446;106.279298,29.292005;106.277267,29.293289",祥和佳苑,,3611100111627,resblock,3611100111627,祥和佳苑,106.277708848,29.292274483157,30002,False
c3611100118815,0.69万(15套),15,15套,套,6921,0.69万,元,"106.269493,29.291859;106.26952,29.291505;106.269012,29.291426;106.269578,29.291068;106.269798,29.290469;106.269838,29.290225;106.268936,29.289997;106.26912,29.289646;106.268406,29.289371;106.268832,29.289162;106.269326,29.289162;106.269982,29.289438;106.270966,29.289469;106.271397,29.292111;106.270741,29.29204",云鼎阳光,,3611100118815,resblock,3611100118815,云鼎阳光,106.2704189057,29.290653962355,30002,False
c36000000004684,1.2万(14套),14,14套,套,12237,1.2万,元,,中昂新天地天玺,,36000000004684,resblock,36000000004684,中昂新天地天玺,106.28105186839,29.290868940042,30002,False
c3611100123665,0.68万(14套),14,14套,套,6770,0.68万,元,"106.267831,29.289004;106.268302,29.289205;106.268747,29.289008;106.26921,29.288965;106.269358,29.288768;106.268464,29.287937;106.268455,29.287469;106.267733,29.286772;106.267078,29.287276;106.267067,29.288233;106.267772,29.288575",明月香山,,3611100123665,resblock,3611100123665,明月香山,106.26803735346,29.288423889995,30002,False
c3611100009656,0.55万(13套),13,13套,套,5467,0.55万,元,"106.271949,29.285405;106.275363,29.282491;106.27839,29.284886;106.277088,29.285004;106.27601,29.285264;106.274986,29.28576;106.273486,29.286839;106.27239,29.286106;106.27239,29.286106",水木年华湖上,,3611100009656,resblock,3611100009656,水木年华湖上,106.274671,29.284578,30002,False
